run,alpha,eps,beta,epochs,batch_size,hidden,dropout,seed,device,min_test_loss
sweep257,0.0005179474679231213,1e-06,0.5,100,128,128,0.2,42,cpu,331.18040019
sweep258,0.0005179474679231213,1e-06,0.57,100,128,128,0.2,42,cpu,619.70100453
sweep259,0.0005179474679231213,1e-06,0.64,100,128,128,0.2,42,cpu,65038.07568265
sweep260,0.0005179474679231213,1e-06,0.71,100,128,128,0.2,42,cpu,8.16279553
sweep261,0.0005179474679231213,1e-06,0.78,100,128,128,0.2,42,cpu,23.42332654
sweep262,0.0005179474679231213,1e-06,0.85,100,128,128,0.2,42,cpu,1492.74067975
sweep263,0.0005179474679231213,1e-06,0.9199999999999999,100,128,128,0.2,42,cpu,961.23750284
sweep264,0.0005179474679231213,1e-06,0.99,100,128,128,0.2,42,cpu,574877.54514563
sweep265,0.0005179474679231213,2.6826957952797274e-06,0.5,100,128,128,0.2,42,cpu,1.80555269
sweep266,0.0005179474679231213,2.6826957952797274e-06,0.57,100,128,128,0.2,42,cpu,1.92340636
sweep267,0.0005179474679231213,2.6826957952797274e-06,0.64,100,128,128,0.2,42,cpu,1340.68194331
sweep268,0.0005179474679231213,2.6826957952797274e-06,0.71,100,128,128,0.2,42,cpu,83.9681039
sweep269,0.0005179474679231213,2.6826957952797274e-06,0.78,100,128,128,0.2,42,cpu,74.43519015
